Source: ACS 5-Year Estimates 5-Year Estimates – Public Use Microdata Sample 2016,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region, Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington",,,,,,,,,,,,,,,,,,,,,,
,Employment status recode (ESR),,,,,,,,,,,,,,,,,,,,,
,,N/A (less than 16 years old),,,"Civilian employed, at work",,,"Civilian employed, with a job but not at work",,,Unemployed,,,"Armed Forces, At Work",,,"Armed Forces, With a Job But Not At Work",,,Not in Labor Force,,
,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,
Selected Geographies,Total,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female
 -> Total,628932405,128841766,65832919,63008847,285672332,150633090,135039242,6220196,2667152,3553044,23319917,12503688,10816229,2009681,1734152,275529,17236,14441,2795,182851277,76064763,106786514
Northeast Region,56065769,10532591,5388348,5144243,26537733,13747387,12790346,608999,248878,360121,2143303,1166079,977224,54900,47943,6957,1234,1082,152,16187009,6711084,9475925
Midwest Region,67676480,13908411,7112715,6795696,31852460,16626055,15226405,630684,269779,360905,2359983,1295532,1064451,90041,76974,13067,892,728,164,18834009,7975829,10858180
South Region,119755731,24959199,12739416,12219783,52848769,27824105,25024664,1053030,450344,602686,4338436,2264673,2073763,545672,468030,77642,4587,3647,940,36006038,14936005,21070033
West Region,75060182,15826152,8089594,7736558,33538021,18134309,15403712,852947,380481,472466,2942169,1598040,1344129,316903,276428,40475,1992,1799,193,21581998,8924283,12657715
Alabama,4841164,975321,496938,478383,2002364,1052891,949473,38519,17327,21192,185526,93293,92233,12206,10598,1608,52,52,0,1627176,674693,952483
Alaska,736855,167684,87302,80382,344489,185719,158770,9324,4756,4568,30443,19087,11356,15728,13600,2128,39,39,0,169148,75547,93601
Arizona,6728584,1438371,734006,704365,2821917,1510610,1311307,53031,23673,29358,248726,134105,114621,17378,14769,2609,51,21,30,2149110,927894,1221216
Arkansas,2968472,627910,321968,305942,1244065,656745,587320,23011,10545,12466,94191,51009,43182,4236,3753,483,0,0,0,975059,413846,561213
California,38654206,8087695,4130069,3957626,17070961,9290486,7780475,511766,229868,281898,1662858,890086,772772,131820,115925,15895,1131,1131,0,11187975,4543351,6644624
Colorado,5359295,1114537,569883,544654,2639752,1417137,1222615,51520,22944,28576,171957,94354,77603,33513,29219,4294,155,99,56,1347861,556107,791754
Connecticut,3588570,676320,346501,329819,1752419,905120,847299,40252,16446,23806,156908,85667,71241,8691,7543,1148,128,128,0,953852,389908,563944
Delaware,934695,181561,92094,89467,428164,216882,211282,8739,3502,5237,33720,18138,15582,2776,2474,302,0,0,0,279735,119148,160587
District of Columbia,659009,104125,52956,51169,342307,166764,175543,6079,2117,3962,33072,16406,16666,3689,3066,623,55,21,34,169682,71579,98103
Florida,19934451,3594045,1836118,1757927,8594690,4491219,4103471,161401,67286,94115,802338,420850,381488,55489,47063,8426,297,243,54,6726191,2877677,3848514
Georgia,10099320,2216644,1129586,1087058,4381713,2286446,2095267,99844,41986,57858,413321,209069,204252,49015,43501,5514,892,816,76,2937891,1211499,1726392
Hawaii,1413673,275216,141351,133865,649566,337683,311883,16049,7421,8628,37504,21068,16436,38844,34600,4244,268,254,14,396226,167409,228817
Idaho,1635483,384476,196385,188091,715854,391376,324478,15538,7021,8517,47264,26235,21029,3656,2904,752,0,0,0,468695,195611,273084
Illinois,12851684,2642068,1348932,1293136,6017762,3149865,2867897,117235,50952,66283,549155,295881,253274,16418,13429,2989,229,211,18,3508817,1449462,2059355
Indiana,6589578,1403739,715738,688001,3022881,1594432,1428449,57673,24129,33544,227784,122438,105346,3124,2818,306,36,19,17,1874341,782953,1091388
Iowa,3106589,647525,330855,316670,1550826,813341,737485,30494,13417,17077,72246,40523,31723,1617,1379,238,17,0,17,803864,343044,460820
Kansas,2898292,643212,327326,315886,1382285,734389,647896,24106,9775,14331,79601,43090,36511,16986,15708,1278,121,84,37,751981,310125,441856
Kentucky,4411989,899533,460482,439051,1872689,984355,888334,42365,18693,23672,155559,85984,69575,15079,13958,1121,46,46,0,1426718,610002,816716
Louisiana,4645670,991979,505353,486626,1982125,1026892,955233,43232,19552,23680,167679,89589,78090,15426,13422,2004,82,47,35,1445147,616607,828540
Maine,1329923,227174,117616,109558,637433,324616,312817,15091,7007,8084,41081,24151,16930,1469,1360,109,0,0,0,407675,177087,230588
Maryland,5959902,1193149,608833,584316,2952204,1497393,1454811,59628,23524,36104,216019,113071,102948,27854,22224,5630,3,3,0,1511045,621232,889813
Massachusetts,6742160,1218596,622023,596573,3385740,1721366,1664374,73825,31458,42367,253897,139908,113989,4880,4312,568,89,37,52,1805133,750204,1054929
Michigan,9909600,1957690,1002888,954802,4345468,2254865,2090603,97054,42040,55014,418989,231376,187613,3931,3200,731,51,51,0,3086417,1334362,1752055
Minnesota,5450868,1140544,581789,558755,2809049,1462769,1346280,55424,23289,32135,148745,85423,63322,2381,2150,231,17,17,0,1294708,553909,740799
Mississippi,2989192,649709,331077,318632,1187788,610298,577490,23889,10640,13249,128990,64193,64797,10586,8785,1801,129,23,106,988101,425455,562646
Missouri,6059651,1235208,632981,602227,2782247,1438244,1344003,52907,22681,30226,197794,107532,90262,21544,17334,4210,177,122,55,1769774,754113,1015661
Montana,1023391,201023,103300,97723,476437,252070,224367,10992,4853,6139,30266,17364,12902,3352,2917,435,0,0,0,301321,133631,167690
Nebraska,1881259,418239,214878,203361,959281,505437,453844,17674,7552,10122,41718,22896,18822,5304,4534,770,0,0,0,439043,181037,258006
Nevada,2839172,589585,300480,289105,1273001,687128,585873,25848,10881,14967,132540,73410,59130,8092,6743,1349,13,13,0,810093,348051,462042
New Hampshire,1327486,231751,118021,113730,688435,359721,328714,18677,8332,10345,37690,21792,15898,1621,1586,35,51,51,0,349261,146819,202442
New Jersey,8915456,1772943,903294,869649,4225322,2231038,1994284,97451,38338,59113,365539,191930,173609,7830,6638,1192,136,136,0,2446235,977702,1468533
New Mexico,2082654,444815,226315,218500,862392,453012,409380,13066,6155,6911,82740,45306,37434,8974,7356,1618,15,0,15,670652,292814,377838
New York,19697457,3733059,1911816,1821243,9117990,4714549,4403441,217141,87261,129880,754727,406846,347881,22518,19875,2643,781,707,74,5851241,2416059,3435182
North Carolina,9940828,2033116,1038299,994817,4366432,2259223,2107209,93210,38523,54687,402319,205622,196697,81312,74043,7269,346,282,64,2964093,1219258,1744835
North Dakota,736162,151169,77706,73463,384912,209495,175417,8009,3686,4323,11995,6637,5358,6267,5944,323,0,0,0,173810,73489,100321
Ohio,11586941,2330904,1192224,1138680,5313265,2756345,2556920,113207,48252,64955,422317,230534,191783,7771,6401,1370,135,115,20,3399342,1439028,1960314
Oklahoma,3875589,850177,434188,415989,1705435,918024,787411,29260,13728,15532,108973,56706,52267,16478,13603,2875,153,153,0,1165113,483164,681949
Oregon,3982267,762050,391200,370850,1789706,943663,846043,42163,17310,24853,161706,90175,71531,2256,1941,315,120,73,47,1224266,528028,696238
Pennsylvania,12783977,2380268,1218893,1161375,5905273,3068042,2837231,124367,51060,73307,473978,264197,209781,4744,3907,837,20,3,17,3895327,1649799,2245528
Rhode Island,1054491,186155,94759,91396,505727,259273,246454,14207,5617,8590,42651,22886,19765,2779,2358,421,29,20,9,302943,126149,176794
South Carolina,4834605,963199,489797,473402,2086710,1077207,1009503,43290,17456,25834,196864,101848,95016,29366,24047,5319,347,288,59,1514829,637306,877523
South Dakota,851058,187712,96423,91289,425411,224376,201035,8701,3414,5287,19016,10812,8204,2546,2129,417,105,105,0,207567,89985,117582
Tennessee,6548009,1327117,680038,647079,2866913,1501300,1365613,62118,26564,35554,239358,121967,117391,17858,15997,1861,176,119,57,2034469,847397,1187072
Texas,26956443,6358656,3243869,3114787,12145991,6637765,5508226,222882,96841,126041,844272,445968,398304,92253,78392,13861,1130,878,252,7291259,2874267,4416992
Utah,2948427,811338,417796,393542,1348608,757344,591264,21900,8734,13166,74368,40581,33787,3848,3445,403,17,17,0,688348,256008,432340
Vermont,626249,106325,55425,50900,319394,163662,155732,7988,3359,4629,16832,8702,8130,368,364,4,0,0,0,175342,77357,97985
Virginia,8310301,1656284,845182,811102,3952819,2049128,1903691,78824,34258,44566,255749,134201,121548,111362,92470,18892,738,638,100,2254525,929821,1324704
Washington,7073146,1425497,727893,697604,3259137,1751529,1507608,75565,33447,42118,245041,136458,108583,46930,40993,5937,154,123,31,2020822,837569,1183253
