Source: ACS 5-Year Estimates 5-Year Estimates – Public Use Microdata Sample 2015,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region, Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington",,,,,,,,,,,,,,,,,,,,,,
,Employment status recode (ESR),,,,,,,,,,,,,,,,,,,,,
,,N/A (less than 16 years old),,,"Civilian employed, at work",,,"Civilian employed, with a job but not at work",,,Unemployed,,,"Armed Forces, At Work",,,"Armed Forces, With a Job But Not At Work",,,Not in Labor Force,,
,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,
Selected Geographies,Total,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female
 -> Total,624856832,128928266,65904592,63023674,281183850,148161811,133022039,6205712,2647368,3558344,26020506,14017877,12002629,2016630,1744150,272480,19137,16354,2783,180482731,74904080,105578651
Northeast Region,55989522,10599906,5424879,5175027,26295886,13613327,12682559,607895,248132,359763,2369734,1288957,1080777,54907,48381,6526,1081,907,174,16060113,6628639,9431474
Midwest Region,67546405,13973932,7147605,6826327,31477040,16412286,15064754,629602,263931,365671,2673970,1471697,1202273,89841,77090,12751,1183,1071,112,18700837,7894874,10805963
South Region,118575370,24875799,12701402,12174397,51879562,27310513,24569049,1053685,451869,601816,4798250,2518963,2279287,543441,466547,76894,5134,4156,978,35419499,14668317,20751182
West Region,74403727,15824691,8094575,7730116,32864936,17749408,15115528,847667,375558,472109,3305909,1809797,1496112,322841,282331,40510,2319,2136,183,21235364,8771220,12464144
Alabama,4830620,983489,501165,482324,1979977,1042756,937221,39010,17601,21409,207421,103891,103530,12500,10785,1715,62,62,0,1608161,663360,944801
Alaska,733375,168513,88105,80408,344285,185341,158944,10090,4873,5217,30101,19199,10902,15512,13412,2100,38,38,0,164836,74000,90836
Arizona,6641928,1435278,732029,703249,2757448,1473551,1283897,52068,23327,28741,272901,148950,123951,17411,14927,2484,25,21,4,2106797,907103,1199694
Arkansas,2958201,628889,322901,305988,1231275,650093,581182,23844,11417,12427,105789,57862,47927,4431,3866,565,106,106,0,963867,407988,555879
California,38421464,8107279,4141511,3965768,16734864,9097011,7637853,509230,226813,282417,1877138,1014515,862623,133329,117322,16007,1394,1385,9,11058230,4488210,6570020
Colorado,5278907,1111111,568781,542330,2576630,1381596,1195034,49926,22224,27702,194734,107147,87587,32497,28308,4189,166,117,49,1313843,540388,773455
Connecticut,3593222,686283,351116,335167,1739265,898137,841128,41228,16422,24806,173024,95036,77988,8872,7622,1250,160,160,0,944390,382960,561430
Delaware,926454,181164,92505,88659,422405,213471,208934,8811,3645,5166,36642,19979,16663,2877,2622,255,0,0,0,274555,116357,158198
District of Columbia,647484,100499,50856,49643,332513,162068,170445,6232,2003,4229,36107,18536,17571,3440,2909,531,54,20,34,168639,70193,98446
Florida,19645772,3567067,1823651,1743416,8382031,4361810,4020221,162588,68940,93648,913934,486983,426951,52797,44681,8116,275,230,45,6567080,2814510,3752570
Georgia,10006693,2214949,1128719,1086230,4287055,2242983,2044072,95859,40453,55406,464968,234751,230217,48776,43385,5391,690,593,97,2894396,1192170,1702226
Hawaii,1406299,274548,141191,133357,638062,333088,304974,16479,7769,8710,41087,23849,17238,41762,37455,4307,287,269,18,394074,165781,228293
Idaho,1616547,382989,196314,186675,703073,382815,320258,15567,6855,8712,54781,30401,24380,3670,2918,752,0,0,0,456467,192168,264299
Illinois,12873761,2668950,1360404,1308546,5960085,3116941,2843144,119297,51603,67694,611535,332205,279330,17320,14340,2980,500,483,17,3496074,1437933,2058141
Indiana,6568645,1408341,719341,689000,2978331,1570687,1407644,56424,23322,33102,258945,140871,118074,3120,2880,240,37,19,18,1863447,774392,1089055
Iowa,3093526,646042,331754,314288,1540593,807670,732923,29732,12560,17172,79531,43882,35649,1550,1282,268,20,0,20,796058,337639,458419
Kansas,2892987,645967,328697,317270,1371421,730410,641011,26072,10309,15763,89777,47650,42127,17583,16335,1248,182,144,38,741985,305529,436456
Kentucky,4397353,903124,462307,440817,1847245,969472,877773,40727,17718,23009,172680,95312,77368,15175,14148,1027,225,225,0,1418177,605183,812994
Louisiana,4625253,991926,506038,485888,1970455,1023588,946867,45518,21283,24235,178789,95060,83729,14872,12955,1917,58,54,4,1423635,602606,821029
Maine,1329100,229476,118176,111300,633598,321454,312144,14600,6965,7635,47113,27443,19670,1237,1172,65,0,0,0,403076,175618,227458
Maryland,5930538,1191495,608071,583424,2919944,1478718,1441226,60671,23431,37240,238088,125680,112408,26557,21319,5238,360,290,70,1493423,614395,879028
Massachusetts,6705586,1224063,625816,598247,3331765,1693249,1638516,74571,31673,42898,283229,157164,126065,5043,4519,524,71,19,52,1786844,737102,1049742
Michigan,9900571,1975287,1010244,965043,4265737,2209435,2056302,96730,40638,56092,483757,267766,215991,3552,2744,808,51,51,0,3075457,1328696,1746761
Minnesota,5419171,1138320,581379,556941,2777062,1442801,1334261,52229,22153,30076,170298,97706,72592,2309,2086,223,12,12,0,1278941,545836,733105
Mississippi,2988081,654809,334337,320472,1179167,607791,571376,24597,11165,13432,139409,68716,70693,10600,8645,1955,127,26,101,979372,421089,558283
Missouri,6045455,1239896,635686,604210,2750497,1421651,1328846,54221,22969,31252,226774,122759,104015,20821,16717,4104,128,128,0,1753118,743928,1009190
Montana,1014699,199915,102896,97019,471233,249394,221839,10556,4726,5830,33897,19827,14070,3384,2979,405,0,0,0,295714,130482,165232
Nebraska,1869365,415389,213986,201403,955061,502376,452685,16914,6793,10121,46778,24991,21787,5041,4433,608,0,0,0,430182,177211,252971
Nevada,2798636,587232,299925,287307,1241141,670119,571022,25273,10105,15168,148376,83270,65106,8659,7351,1308,14,14,0,787941,337713,450228
New Hampshire,1324201,236087,120297,115790,681255,355455,325800,18237,7969,10268,41623,23890,17733,1458,1395,63,0,0,0,345541,144121,201420
New Jersey,8904414,1784369,908954,875415,4180368,2205828,1974540,98919,39747,59172,411992,216293,195699,7718,6554,1164,55,55,0,2420993,964033,1456960
New Mexico,2084117,450183,229556,220627,861027,453935,407092,14073,6502,7571,89662,48614,41048,8851,7301,1550,16,0,16,660305,286331,373974
New York,19673174,3751106,1922525,1828581,9042241,4674650,4367591,211887,83703,128184,827794,446507,381287,22670,20167,2503,741,651,90,5816735,2394019,3422716
North Carolina,9845333,2033456,1040113,993343,4280267,2218926,2061341,92536,38024,54512,449184,230827,218357,82152,74591,7561,331,293,38,2907407,1194083,1713324
North Dakota,721640,146164,74061,72103,377700,206271,171429,7703,3349,4354,11590,6986,4604,5656,5300,356,22,22,0,172805,72156,100649
Ohio,11575977,2346401,1201061,1145340,5254764,2722896,2531868,112337,46419,65918,478929,261861,217068,7653,6460,1193,49,30,19,3375844,1423426,1952418
Oklahoma,3849733,845488,433097,412391,1690444,910330,780114,31101,14357,16744,115007,60118,54889,17129,14143,2986,214,214,0,1150350,474826,675524
Oregon,3939233,761788,391124,370664,1748573,917743,830830,41165,17256,23909,185442,104463,80979,2037,1794,243,113,67,46,1200115,517011,683104
Pennsylvania,12779559,2392562,1225791,1166771,5864200,3043849,2820351,126250,52722,73528,518601,286608,231993,4958,4328,630,18,1,17,3872970,1631585,2241385
Rhode Island,1053662,188563,96514,92049,504281,257170,247111,14070,5626,8444,47916,25822,22094,2615,2294,321,36,21,15,296181,123276,172905
South Carolina,4777576,960920,487345,473575,2031832,1051348,980484,43395,17631,25764,220580,114603,105977,30301,24964,5337,375,272,103,1490173,624883,865290
South Dakota,843190,185716,95682,90034,419199,220578,198621,9265,3518,5747,19605,11031,8574,3062,2567,495,90,90,0,206253,89068,117185
Tennessee,6499615,1325253,678736,646517,2816848,1473631,1343217,62946,27217,35729,267674,137991,129683,16989,15010,1979,291,238,53,2009614,836114,1173500
Texas,26538614,6296741,3211232,3085509,11863723,6484559,5379164,220229,95131,125098,912565,484578,427987,94829,81102,13727,1123,873,250,7149404,2813557,4335847
Utah,2903379,806593,416118,390475,1313441,736315,577126,21386,8480,12906,84092,46799,37293,3921,3498,423,17,17,0,673929,249908,424021
Vermont,626604,107397,55690,51707,318913,163535,155378,8133,3305,4828,18442,10194,8248,336,330,6,0,0,0,173383,75925,97458
Virginia,8256630,1656950,846805,810145,3906915,2026822,1880093,78742,34114,44628,277073,146406,130667,109385,90854,18531,695,623,72,2226870,914772,1312098
Washington,6985464,1415911,723529,692382,3188217,1711960,1476257,75425,33053,42372,277269,153471,123798,49183,43032,6151,192,151,41,1979267,821396,1157871
