"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N","P3_009N","P3_010N","P3_011N","P3_012N","P3_013N","P3_014N","P3_015N","P3_016N","P3_017N","P3_018N","P3_019N","P3_020N","P3_021N","P3_022N","P3_023N","P3_024N","P3_025N","P3_026N","P3_027N","P3_028N","P3_029N","P3_030N","P3_031N","P3_032N","P3_033N","P3_034N","P3_035N","P3_036N","P3_037N","P3_038N","P3_039N","P3_040N","P3_041N","P3_042N","P3_043N","P3_044N","P3_045N","P3_046N","P3_047N","P3_048N","P3_049N","P3_050N","P3_051N","P3_052N","P3_053N","P3_054N","P3_055N","P3_056N","P3_057N","P3_058N","P3_059N","P3_060N","P3_061N","P3_062N","P3_063N","P3_064N","P3_065N","P3_066N","P3_067N","P3_068N","P3_069N","P3_070N","P3_071N"
"0400000US12","Florida","17339232","14638985","10438522","2419026","73588","520293","10734","1176822","2700247","2624092","97183","152457","69106","4737","2144848","14315","14199","3205","95521","1348","301","11759","3634","8206","3273","64349","12033","4592","370","19091","2179","314","13069","2189","5289","535","385","80","2025","530","1028","233","84","137","24","162","10811","1076","167","7439","172","967","71","171","309","43","154","43","75","13","88","23","889","264","472","73","32","15","33","106","106"
"0400000US13","Georgia","8220274","7737712","4465194","2488419","36458","369718","5320","372603","482562","455691","53200","82399","29313","1892","231526","14766","6344","1092","25260","667","96","5151","1352","2047","586","23365","8317","1818","191","3720","981","135","4646","853","853","97","313","62","665","220","307","70","36","32","6","43","3094","681","96","1658","72","175","21","108","114","15","32","36","34","12","40","0","363","127","167","17","11","15","26","49","49"
"0400000US15","Hawaii","1155905","911662","290286","19085","3686","466207","110416","21982","244243","164522","3457","9246","47393","26097","15712","659","1432","899","684","729","631","374","54472","2104","633","70998","1111","609","431","363","2557","1322","886","59059","1680","743","119","56","49","547","36","17","687","37","7","682","7900","399","164","253","779","51","40","4051","173","44","1806","96","12","2","16","14","786","407","83","15","58","205","18","37","37"
"0400000US16","Idaho","1376400","1280567","1156336","10454","18441","21519","2650","71167","95833","91776","3458","22887","8254","1385","52970","274","145","49","396","151","69","963","463","221","91","3639","570","116","21","217","340","67","1363","621","192","58","10","6","14","7","5","0","14","3","5","10","337","48","14","100","30","14","1","53","25","8","15","11","7","0","4","7","59","28","14","4","6","5","2","22","22"
"0400000US17","Illinois","9999469","9243906","6382030","1373943","70454","601201","3426","812852","755563","720723","49439","80894","44433","1969","491908","9244","3493","479","14650","1013","141","16821","2217","2834","1188","30879","7174","1127","144","3815","1024","114","13384","1017","1468","146","251","64","618","126","155","47","20","72","39","74","3436","541","93","2151","56","149","10","74","158","8","89","23","26","7","35","16","464","208","198","28","11","4","15","61","61"
"0400000US18","Indiana","5192579","4926255","4137310","467861","19555","125824","2221","173484","266324","254684","30286","68271","15998","1296","122307","3541","1242","243","4668","217","39","2111","3411","797","257","10448","3840","556","97","1300","495","109","2685","510","368","64","56","16","168","52","50","31","0","17","5","29","998","219","40","531","27","32","1","38","34","10","25","13","11","0","7","10","168","90","54","13","1","2","8","26","26"
"0400000US19","Iowa","2450103","2345280","2126641","88101","10353","57149","3552","59484","104823","100547","11063","23554","7132","618","52818","937","376","56","1063","120","22","713","1717","299","59","3863","1341","213","61","412","192","19","996","270","154","35","32","11","60","37","18","1","1","3","4","3","317","65","20","138","8","6","14","17","14","4","16","2","0","0","7","6","88","41","28","3","3","2","11","8","8"
"0400000US20","Kansas","2229316","2059933","1743825","125260","23072","66372","2362","99042","169383","162106","13501","45083","8996","853","85918","2729","660","132","1673","146","40","1338","620","294","123","6566","2356","312","58","656","400","61","1839","382","206","21","62","18","101","31","14","14","3","11","0","21","617","155","34","245","16","29","10","52","29","6","17","6","2","6","1","9","70","39","22","6","0","2","1","24","24"
"0400000US21","Kentucky","3483900","3333651","2933597","268710","9816","55369","2528","63631","150249","143503","19810","51126","8969","848","53755","2067","735","197","3324","129","41","795","1248","335","124","6034","2413","350","61","663","395","58","1272","302","227","48","43","18","90","45","11","2","5","11","4","16","595","157","21","255","32","35","4","31","22","0","6","12","11","5","4","0","97","42","26","10","14","1","4","20","20"
"0400000US22","Louisiana","3570548","3390241","2124511","1073754","23497","68753","1476","98250","180307","169215","18851","37123","9329","765","84853","5100","1299","248","9241","207","60","1148","391","409","191","9531","3096","406","65","1642","453","71","2336","315","427","77","98","25","260","103","82","28","12","13","2","20","1361","197","27","875","45","40","22","20","42","3","14","26","19","1","25","5","167","62","77","3","11","6","8","33","33"
"0400000US23","Maine","1110085","1067262","1023211","16949","6020","13430","360","7292","42823","41056","3254","17261","3611","278","15480","196","95","25","442","66","13","103","132","77","23","1583","472","94","15","214","107","38","320","152","82","14","15","5","18","5","13","0","7","4","0","8","140","15","1","67","11","6","0","13","12","1","4","6","4","0","0","0","44","26","7","2","3","6","0","0","0"
"0400000US24","Maryland","4815202","4506654","2461512","1404055","23928","334516","2495","280148","308548","286635","37025","36073","27853","1215","138254","11966","5124","743","18605","551","77","5982","1118","1586","463","18977","7033","1526","146","2837","690","66","3834","667","838","71","246","72","409","129","252","54","24","42","8","33","2602","617","64","1448","61","178","12","46","75","26","18","16","17","5","16","3","292","113","133","17","19","1","9","42","42"
"0400000US25","Massachusetts","5663723","5253507","4086011","374739","18009","409577","1915","363256","410216","388464","29149","31737","28928","1234","222590","4660","1976","500","58747","450","92","3879","851","2100","1571","18705","4101","797","77","7307","486","56","2795","670","792","145","118","17","784","63","271","115","16","24","15","56","2786","287","32","2014","35","176","36","29","52","7","58","4","16","0","36","4","239","102","110","13","9","5","0","22","22"
"0400000US26","Michigan","7914602","7516298","6021926","1031144","46287","260085","2305","154551","398304","378406","48681","106168","30693","1715","167797","8878","2217","326","7107","480","81","2100","914","998","251","18032","7595","1008","139","2047","832","136","3719","861","837","95","201","26","272","88","96","10","25","16","0","29","1573","416","77","704","38","75","18","55","66","7","56","31","17","0","12","1","243","127","86","0","12","10","8","50","50"
"0400000US27","Minnesota","4389033","4190252","3550129","260434","47060","215605","2058","114966","198781","188133","24170","44296","19244","1104","87311","3034","1128","176","2987","448","67","1828","1169","917","254","9519","3818","639","87","935","503","78","1967","625","372","55","60","34","122","44","63","13","30","18","1","55","954","214","35","472","25","96","0","54","22","0","7","5","14","4","6","0","156","59","70","7","12","4","4","19","19"
"0400000US28","Mississippi","2277599","2207098","1328758","802963","11277","26016","848","37236","70501","66497","11786","21459","4474","390","21859","2795","641","153","1945","96","25","419","217","157","81","3448","1457","167","33","356","195","31","667","126","110","12","55","14","102","61","37","1","7","7","2","8","444","111","27","174","15","17","1","23","6","4","9","10","14","0","33","0","87","38","29","7","8","0","5","25","25"
"0400000US29","Missouri","4775612","4513555","3772337","518166","23737","105360","6619","87336","262057","250163","26117","96371","17906","1856","94232","5299","1315","238","3700","231","72","1220","927","515","164","10722","4119","570","115","1087","775","142","2373","647","338","70","100","46","169","55","40","8","15","15","1","37","948","245","46","450","34","37","7","43","37","0","20","11","8","4","2","4","202","101","81","6","6","5","3","22","22"
"0400000US30","Montana","850123","804373","737204","4039","44531","6828","709","11062","45750","43817","1992","19438","3464","481","17099","328","102","26","149","118","44","252","237","65","22","1754","475","72","17","90","247","56","463","235","46","19","1","0","3","5","1","1","15","4","1","3","143","15","12","44","8","2","2","23","6","2","2","6","5","4","7","5","25","9","10","3","0","0","3","11","11"
"0400000US31","Nebraska","1476127","1391504","1199242","67094","15096","39166","1093","69813","84623","80820","7053","15485","6086","458","47334","1115","308","69","984","99","19","1110","377","249","74","3385","1024","188","28","325","158","18","1093","273","117","23","22","5","53","29","0","6","1","5","4","13","341","60","15","149","22","16","0","19","38","0","8","2","0","1","7","4","66","31","18","0","8","0","9","11","11"
"0400000US32","Nevada","2413326","2126547","1311982","226025","33407","228281","18266","308586","286779","268377","16648","27516","25377","3676","170476","3106","3037","684","5817","496","169","3566","5770","1560","479","16540","2702","983","197","1471","908","223","3945","3840","1034","155","167","45","214","238","102","32","72","47","8","157","1605","284","65","501","139","72","11","240","91","16","135","23","16","6","6","0","223","97","88","6","11","18","3","34","34"
"0400000US33","New Hampshire","1120680","1069090","1005446","14841","2459","28172","351","17821","51590","49357","3846","15008","4531","330","23453","249","114","49","1211","45","7","152","153","140","69","1984","584","200","11","376","116","16","373","113","93","17","1","19","26","13","12","4","0","5","0","5","205","34","2","128","1","3","1","11","17","2","0","3","1","1","0","1","40","19","8","6","0","2","5","4","4"
"0400000US34","New Jersey","7281310","6653993","4167391","936123","37174","745070","2716","765519","627317","596186","36508","30734","30225","1172","414372","9465","4392","885","47940","1287","120","10473","1759","4572","2282","26049","6649","1373","116","7777","482","70","5245","546","1528","172","245","35","928","102","423","59","19","124","54","102","4657","532","97","3273","44","336","37","21","137","19","71","18","21","8","30","13","368","125","190","19","11","19","4","57","57"
"0400000US35","New Mexico","1638989","1333163","876177","34444","153063","30378","1610","237491","305826","295399","5404","21429","6684","714","251684","1363","389","78","1724","365","141","3915","543","736","230","9543","1118","200","24","794","339","71","5654","353","588","82","32","14","93","18","29","6","19","41","25","43","740","103","15","363","19","33","8","47","77","14","27","9","5","5","0","15","123","24","70","14","2","12","1","21","21"
"0400000US36","New York","16088135","14819702","9153551","2326865","113432","1562776","8308","1654770","1268433","1189434","94493","85483","82730","2732","640740","24638","14624","2580","178259","4496","435","25186","5314","21330","6394","65664","16139","3375","291","20658","1170","176","11536","1467","3370","330","743","127","2825","327","1734","307","105","437","133","414","12006","1364","150","8576","135","842","50","93","247","25","143","64","139","24","86","68","1181","414","602","87","21","20","37","148","148"
"0400000US37","North Carolina","8155099","7708023","5300137","1639043","96726","259521","6220","406376","447076","420656","49353","93911","29258","2097","200495","15872","3578","846","15807","588","174","4959","1492","1631","595","23160","9529","1283","185","3255","1053","155","4397","988","757","90","279","82","606","185","116","51","49","18","13","69","2797","588","98","1560","63","143","23","83","107","15","44","24","6","4","20","19","394","204","136","20","19","10","5","69","69"
"0400000US38","North Dakota","596093","571597","509175","17982","25005","10366","682","8387","24496","23458","2182","8799","2053","216","9033","260","154","33","261","55","25","148","145","41","53","897","277","46","13","84","71","21","195","79","36","2","4","7","13","13","5","1","5","9","0","16","106","17","3","43","0","0","0","16","11","0","0","3","10","0","1","2","30","13","10","1","3","3","0","5","5"
"0400000US39","Ohio","9207562","8793288","7297449","1085613","23558","230222","3597","152849","414274","390293","62288","118095","30137","2051","149423","9824","2519","513","10478","443","70","1867","1087","1078","420","21273","10222","1237","203","2688","1043","138","3138","1018","534","75","196","69","397","124","89","23","20","19","13","27","2357","585","124","1215","64","94","6","81","72","8","34","20","22","9","14","9","306","151","96","15","30","3","11","45","45"
"0400000US40","Oklahoma","3010698","2696494","2028656","216160","231207","70077","5347","145047","314204","299973","18830","166019","11642","1233","83623","11331","986","198","2234","545","217","1938","631","395","151","13249","6618","411","68","868","1127","189","2727","529","234","35","100","31","160","31","16","9","52","16","7","21","858","199","30","421","18","36","0","68","40","5","10","13","7","1","10","0","105","58","37","3","0","1","6","19","19"
"0400000US41","Oregon","3370652","3076781","2609035","62346","47566","158577","13690","185567","293871","276283","16612","72573","32329","4522","137520","1636","1019","280","1881","544","234","2942","2980","904","307","15865","3069","750","156","1116","1495","323","4589","2990","790","150","86","23","99","61","41","3","50","14","3","57","1427","236","55","538","74","53","8","214","118","11","83","17","11","8","1","0","253","132","77","5","19","20","0","43","43"
